Date,Station,Depth.m,Temperature.C,Salinity.PSU,Density.kg.m^-3,PAR,Fluorescence.mg.m^-3,Turbidity.NTU,Beam.1.m^-1,OxygenConcentration.umole.kg^-1,OxygenSaturation
20170912,4,0.806,15.0814,31.6229,23.3525,3.66E+02,0.544,0.0003,6.8554,258.354,102.02475
20170912,4,0.823,15.0885,31.6244,23.3521,3.69E+02,0.5402,0.0003,6.8542,258.013,101.90566
20170912,4,0.824,15.0871,31.6251,23.3529,4.44E+02,0.5318,0.0003,6.8646,257.848,101.83794
20170912,4,0.813,15.0876,31.6288,23.3557,3.77E+02,0.5349,0.0003,6.8571,257.832,101.83512
20170912,4,0.827,15.0854,31.6235,23.3521,3.91E+02,0.5448,0.0003,6.8492,258.062,101.91782
20170912,4,0.817,15.0969,31.6248,23.3506,4.21E+02,0.5448,0.0003,6.8644,258.264,102.02188
20170912,4,0.791,15.0981,31.6243,23.35,3.24E+02,0.5448,0.0003,6.8681,258.518,102.12437
20170912,4,1.019,15.0931,31.6254,23.3519,3.45E+02,0.5196,0.0003,6.8615,256.957,101.49844
20170912,4,1.122,15.0979,31.6259,23.3512,3.30E+02,0.5196,0.0003,6.8602,257.026,101.53536
20170912,4,1.321,15.0976,31.626,23.3514,9.14E+02,0.5204,0.0003,6.8633,257.399,101.68218
20170912,4,1.469,15.1017,31.6249,23.3496,9.03E+02,0.5318,0.0003,6.8621,258.016,101.93365
20170912,4,1.55,15.1031,31.626,23.3502,5.49E+02,0.5318,0.0003,6.8572,258.766,102.23343
20170912,4,1.64,15.1017,31.6265,23.3509,2.77E+02,0.5318,0.0003,6.8631,259.162,102.38749
20170912,4,1.8,15.0863,31.6327,23.359,2.74E+02,0.5318,0.0003,6.8669,258.514,102.10473
20170912,4,1.986,15.0139,31.6509,23.3885,2.70E+02,0.5524,0.0003,6.8654,258.226,101.85764
20170912,4,2.15,14.9949,31.6297,23.3763,2.51E+02,0.5563,0.0003,6.8641,258.347,101.85212
20170912,4,2.298,15.0088,31.6316,23.3747,2.62E+02,0.5921,0.0003,6.8605,258.393,101.89978
20170912,4,2.486,15.0242,31.6234,23.3651,2.53E+02,0.6051,0.0003,6.8638,259.202,102.24417
20170912,4,2.725,14.9883,31.6435,23.3883,2.62E+02,0.6127,0.0003,6.8659,260.057,102.52244
20170912,4,2.945,14.8679,31.6613,23.4276,3.05E+02,0.6181,0.0003,6.8778,260.771,102.57156
20170912,4,3.114,14.859,31.6414,23.4142,2.96E+02,0.647,0.0003,6.8811,260.48,102.42479
20170912,4,3.283,14.8358,31.6454,23.4222,3.69E+02,0.6791,0.0003,6.8877,260.067,102.21782
20170912,4,3.498,14.8173,31.6474,23.4277,3.54E+02,0.6837,0.0003,6.8864,259.386,101.91414
20170912,4,3.744,14.7327,31.6681,23.4616,4.26E+02,0.6921,0.0003,6.8835,259.482,101.79514
20170912,4,3.987,14.6807,31.6633,23.4688,5.61E+02,0.7104,0.0003,6.8836,260.004,101.89072
20170912,4,4.201,14.676,31.6522,23.4613,5.38E+02,0.7783,0.0004,6.8856,260.514,102.0734
20170912,4,4.372,14.6873,31.6632,23.4674,6.93E+02,0.789,0.0004,6.8965,260.866,102.24207
20170912,4,4.507,14.6893,31.6697,23.4719,5.64E+02,0.9011,0.0003,6.8969,260.438,102.08289
20170912,4,4.659,14.6976,31.6689,23.4696,6.13E+02,0.9003,0.0003,6.8975,259.711,101.81429
20170912,4,4.931,14.7603,31.6882,23.4712,6.09E+02,0.9675,0.0003,6.9012,258.752,101.57852
20170912,4,5.275,14.7823,31.7374,23.5045,5.58E+02,0.9698,0.0003,6.9044,258.368,101.50662
20170912,4,5.538,14.8003,31.7645,23.5215,5.38E+02,1.0514,0.0004,6.9339,258.648,101.67204
20170912,4,5.673,14.7968,31.7766,23.5316,5.12E+02,1.0667,0.0004,6.9368,259.343,101.94673
20170912,4,5.774,14.807,31.7762,23.5292,5.22E+02,1.1185,0.0003,6.9414,259.697,102.10624
20170912,4,5.967,14.8119,31.7841,23.5342,4.83E+02,1.1391,0.0003,6.9453,258.898,101.80782
20170912,4,6.264,14.7416,31.8297,23.5843,5.08E+02,1.1536,0.0003,6.947,258.076,101.37456
20170912,4,6.554,14.6998,31.8184,23.5844,4.52E+02,1.1643,0.0003,6.9413,258.055,101.27414
20170912,4,6.752,14.6928,31.8152,23.5834,4.07E+02,1.2154,0.0003,6.9403,259.104,101.66926
20170912,4,6.904,14.6781,31.8175,23.5883,4.20E+02,1.2734,0.0003,6.9375,260.728,102.27843
20170912,4,7.101,14.6512,31.8174,23.5939,3.87E+02,1.3108,0.0003,6.9341,261.976,102.71235
20170912,4,7.329,14.6396,31.8167,23.5958,3.82E+02,1.3833,0.0003,6.9318,262.223,102.78519
20170912,4,7.533,14.6357,31.8165,23.5964,3.69E+02,1.4146,0.0003,6.9194,261.766,102.59775
