Date (MM/DD/YYYY),Year,Month,Day,Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TDS mg/L,pH,pH mV,Temp C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
1/13/2020,2020,1,13,13:46:33,0,BLOSdock1,0.14,31253.7,0.016,50325.2,0.811,31.82,49558.9,0.25,32213,18.03,-608.5,5.662,0.569,43.86045,-69.57813,7.5,2.45,12,772.7
1/13/2020,2020,1,13,13:46:34,0,BLOSdock1,0.13,31257.2,0.019,50305.3,0.815,31.81,49538.3,0.22,32200,18.02,-608.5,5.68,0.565,43.86045,-69.57813,7.6,2.45,12,772.7
1/13/2020,2020,1,13,13:46:35,0,BLOSdock1,0.13,31250.4,0.023,50291.7,0.82,31.8,49524.8,0.22,32191,18.02,-608.5,5.681,0.608,43.86044,-69.57812,7.7,2.45,12,772.7
1/13/2020,2020,1,13,13:46:36,0,BLOSdock1,0.14,31239.9,0.04,50279.6,0.846,31.79,49513.1,0.2,32184,18.02,-608.5,5.677,0.764,43.86044,-69.57812,7.8,2.46,12,772.7
1/13/2020,2020,1,13,13:46:37,0,BLOSdock1,0.14,31229.3,0.067,50265.9,0.886,31.78,49499.8,0.24,32175,18.02,-608.5,5.675,0.849,43.86044,-69.57812,7.7,2.46,12,772.7
1/13/2020,2020,1,13,13:46:38,0,BLOSdock1,0.16,31220.1,0.112,50256.2,0.951,31.77,49490.4,0.23,32169,18.02,-608.5,5.671,1.082,43.86044,-69.57812,7.7,2.46,12,772.6
1/13/2020,2020,1,13,13:46:39,0,BLOSdock1,0.16,31210.4,0.187,50246.2,1.06,31.77,49480.8,0.26,32162,18.02,-608.5,5.668,1.305,43.86044,-69.57812,7.6,2.46,12,772.7
1/13/2020,2020,1,13,13:46:40,0,BLOSdock1,0.16,31200.9,1.059,50236.2,2.331,31.76,49471.1,0.26,32156,18.02,-608.5,5.664,1.486,43.86044,-69.57812,7.5,2.46,12,772.7
1/13/2020,2020,1,13,13:46:41,0,BLOSdock1,0.16,31189.5,1.205,50226.2,2.544,31.75,49461.5,0.22,32150,18.02,-608.5,5.659,1.685,43.86044,-69.57812,7.5,2.46,12,772.7
1/13/2020,2020,1,13,13:46:42,0,BLOSdock1,0.16,31178,1.399,50213.6,2.827,31.74,49449.4,0.2,32142,18.02,-608.5,5.654,1.835,43.86044,-69.57812,7.5,2.46,12,772.7
1/13/2020,2020,1,13,13:46:43,0,BLOSdock1,0.17,31165.8,1.543,50196.4,3.036,31.73,49432.6,0.19,32131,18.02,-608.5,5.653,2.102,43.86044,-69.57812,7.3,2.46,12,772.7
1/13/2020,2020,1,13,13:46:44,0,BLOSdock1,0.17,31157,1.659,50181.5,3.206,31.72,49417.9,0.17,32122,18.02,-608.5,5.653,2.217,43.86044,-69.57812,7.1,2.46,12,772.7
1/13/2020,2020,1,13,13:46:45,0,BLOSdock1,0.18,31159.9,1.724,50184.2,3.301,31.72,49420.5,0.16,32123,18.02,-608.5,5.655,2.403,43.86044,-69.57812,7,2.46,12,772.7
1/13/2020,2020,1,13,13:46:46,0,BLOSdock1,0.17,31167.5,1.81,50187.8,3.426,31.73,49423.6,0.19,32125,18.02,-608.5,5.662,2.565,43.86044,-69.57812,7,2.46,12,772.7
1/13/2020,2020,1,13,13:46:47,0,BLOSdock1,0.16,31177.4,1.889,50193.3,3.541,31.73,49428.6,0.14,32129,18.02,-608.5,5.668,2.737,43.86044,-69.57812,6.9,2.46,12,772.7
1/13/2020,2020,1,13,13:46:48,0,BLOSdock1,0.14,31187.8,1.985,50199,3.68,31.73,49433.9,0.15,32132,18.02,-608.5,5.677,2.955,43.86044,-69.57812,6.9,2.46,12,772.6
1/13/2020,2020,1,13,13:46:49,0,BLOSdock1,0.14,31198.7,2.074,50202.7,3.81,31.74,49437,0.13,32134,18.02,-608.5,5.685,3.085,43.86044,-69.57812,6.8,2.46,12,772.7
1/13/2020,2020,1,13,13:46:50,0,BLOSdock1,0.13,31208.7,2.901,50206.8,5.017,31.74,49440.6,0.11,32136,18.02,-608.5,5.694,3.324,43.86044,-69.57812,6.8,2.46,12,772.6
1/13/2020,2020,1,13,13:46:51,0,BLOSdock1,0.12,31220.8,2.947,50211.3,5.084,31.74,49444.4,0.1,32139,18.02,-608.5,5.703,3.442,43.86044,-69.57812,6.7,2.46,12,772.7
