Date (MM/DD/YYYY),Year,Month,Day,Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TDS mg/L,pH,pH mV,Temp C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
1/15/2020,2020,1,15,10:33:20,0,BLOSdock1,0.07,31155.4,0.008,50638.5,0.61,32.01,49886,0.05,32426,18.04,-608.5,5.342,0.507,43.86047,-69.57816,5.8,2.4,12,763.1
1/15/2020,2020,1,15,10:33:21,0,BLOSdock1,0.1,31115.6,0.022,50591.1,0.63,31.98,49840.1,0.03,32396,18.04,-608.5,5.329,0.551,43.86046,-69.57816,6.3,2.4,12,763
1/15/2020,2020,1,15,10:33:22,0,BLOSdock1,0.09,31047.2,0.051,50508,0.672,31.92,49759.4,0.04,32344,18.04,-608.5,5.311,0.775,43.86046,-69.57816,6.5,2.4,12,762.8
1/15/2020,2020,1,15,10:33:23,0,BLOSdock1,0.09,30975.8,0.121,50422.8,0.774,31.86,49676.7,0.06,32290,18.04,-608.5,5.288,1.082,43.86046,-69.57816,6.5,2.4,12,762.9
1/15/2020,2020,1,15,10:33:24,0,BLOSdock1,0.08,30882.4,1.013,50302.3,2.074,31.77,49559.3,0.09,32214,18.04,-608.5,5.269,1.324,43.86046,-69.57816,6.4,2.4,12,762.9
1/15/2020,2020,1,15,10:33:25,0,BLOSdock1,0.09,30796.6,1.194,50186.5,2.339,31.69,49446.2,0.08,32140,18.04,-608.5,5.251,1.548,43.86046,-69.57816,6.2,2.4,12,762.9
1/15/2020,2020,1,15,10:33:26,0,BLOSdock1,0.09,30696.4,1.368,50053,2.591,31.6,49315.9,0.1,32055,18.04,-608.5,5.233,1.704,43.86046,-69.57816,6.2,2.4,12,762.8
1/15/2020,2020,1,15,10:33:27,0,BLOSdock1,0.09,30607.7,1.451,49937.4,2.713,31.51,49203.3,0.07,31982,18.04,-608.5,5.21,1.823,43.86046,-69.57816,6.1,2.4,12,763
1/15/2020,2020,1,15,10:33:28,0,BLOSdock1,0.1,30503,1.468,49798.9,2.737,31.42,49068.1,0.07,31894,18.04,-608.5,5.191,1.962,43.86046,-69.57816,6.1,2.4,12,762.9
1/15/2020,2020,1,15,10:33:29,0,BLOSdock1,0.1,30417.4,1.551,49691.4,2.858,31.34,48963.6,0.08,31826,18.04,-608.5,5.169,2.057,43.86046,-69.57816,6,2.4,12,763
